序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
9165,F1915.96,Ornament or weight,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1915.96,https://ids.si.edu/ids/iiif/FS-7508_12/full/full/0/default.jpg,China,618-907,Bronze; gilded,H x W: 2.5 x 5.3 cm (1 x 2 1/16 in),,Gift of Charles Lang Freer,,,
9166,F1917.108,Searching for Plum Blossoms While Riding a Donkey,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.108,https://ids.si.edu/ids/iiif/FS-5664_09/full/full/0/default.jpg,China,early 16th century,Hanging scroll mounted on panel; ink and color on silk,H x W (image): 159.3 x 84.4 cm (62 11/16 x 33 1/4 in),Probably by Zhou Chen (ca.1450-ca.1535)Formerly attributed to Zhang Xunli (active late 12th century),Gift of Charles Lang Freer,,,
9167,LTS1985.1.325.7,"Celestial figures, from Cave 224",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_LTS1985.1.325.7,https://ids.si.edu/ids/iiif/FS-LTS1985.1.325.7/full/full/0/default.jpg,"Kucha, Xinjiang province, China",4th-6th century,Gypsum plaster with pigment,H x W: 33.1 x 63.5 cm (13 1/16 x 25 in),,"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.325.7",,,
9168,F1911.98,Mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.98,https://ids.si.edu/ids/iiif/FS-5995_03/full/full/0/default.jpg,China,206 BCE-220 CE,Bronze,Diam x D: 22.8 x 2.1 cm (9 x 13/16 in),,Gift of Charles Lang Freer,,,
9169,S2012.9.3189,Figure of a dog,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3189,https://ids.si.edu/ids/iiif/FS-8161_04/full/full/0/default.jpg,China,12th-13th century,Unglazed porcelain,H x W x D (overall): 7.8 x 11 x 7 cm (3 1/16 x 4 5/16 x 2 3/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9170,S2012.9.66,Pendant in the form of a disk,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.66,https://ids.si.edu/ids/iiif/FS-S2012.9.66_001/full/full/0/default.jpg,China,20th century,Jade (nephrite),H x W x D (overall): 8.4 x 11.1 x 0.5 cm (3 5/16 x 4 3/8 x 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9171,S2005.73,Lamp,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2005.73,https://ids.si.edu/ids/iiif/FS-6654_01/full/full/0/default.jpg,"Shiwan (Shekwan) kilns, Foshan, Guangdong province, China",19th-mid 20th century,Stoneware with copper-green glaze,H x Diam (overall): 11.5 x 10.8 cm (4 1/2 x 4 1/4 in),,"Gift of Osborne and Gratia Hauge, and Victor and Takako Hauge",,,
9172,F1916.198a-b,Box with lobed sides,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.198a-b,https://ids.si.edu/ids/iiif/FS-7411_07/full/full/0/default.jpg,China,12th-13th century,Porcelain with transparent pale-blue (qingbai) glaze,H x W: 3.9 x 6.3 cm (1 9/16 x 2 1/2 in),,Gift of Charles Lang Freer,,,
9173,S2012.9.1844,Shaft finial,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1844,https://ids.si.edu/ids/iiif/FS-rls431/full/full/0/default.jpg,China,5th-3rd century BCE,Bronze with gold and silver inlay,H x W x D (overall): 6 x 1.9 x 2.3 cm (2 3/8 x 3/4 x 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9174,S2012.9.1706,Weight,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1706,https://ids.si.edu/ids/iiif/FS-rls_4389/full/full/0/default.jpg,China,1st century,Bronze,H x Diam (overall): 1.7 x 3.5 cm (11/16 x 1 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9175,FSC-B-307,Knife money,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-307,https://ids.si.edu/ids/iiif/FS-FSC-B-307_1/full/full/0/default.jpg,China,,Bronze,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
9176,S2012.9.4427,Buddha,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4427,https://ids.si.edu/ids/iiif/FS-rls_0868/full/full/0/default.jpg,China,early 7th-early 10th century,Gilt bronze,H x W x D (overall): 6.7 x 3 x 1.7 cm (2 5/8 x 1 3/16 x 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9177,FSC-P-2977,Cup,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-2977,https://ids.si.edu/ids/iiif/FS-FSC-P-2977_1/full/full/0/default.jpg,China,,,,,Gift of Dean Frasché,,,
9178,S1987.690,"Ornament with mask, reworked from a tube (cong)?",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.690,https://ids.si.edu/ids/iiif/FS-S1987.690_001/full/full/0/default.jpg,,ca. 600-476 BCE,Marble,H x W x D: 4.4 x 5.1 x 1.1 cm (1 3/4 x 2 x 7/16 in),,Gift of Arthur M. Sackler,,,
9179,S2012.9.4119,Mirror case,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4119,https://ids.si.edu/ids/iiif/FS-7718_30/full/full/0/default.jpg,China,late 18th-early 19th century,Black lacquer with polychrome and gold paint,H x W x D: 4.5 x 31 x 28 cm (1 3/4 x 12 3/16 x 11 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9180,S2012.9.2824a-b,Horse,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2824a-b,https://ids.si.edu/ids/iiif/FS-rls_0539/full/full/0/default.jpg,China,late 3rd century BCE-early 1st century CE,Lead,H x W x D (overall): 5.7 x 7 x 1.7 cm (2 1/4 x 2 3/4 x 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9181,S2012.9.1056,Bowl,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1056,https://ids.si.edu/ids/iiif/FS-7855_68/full/full/0/default.jpg,China,,Jade,H x Diam (overall): 3 x 6.5 cm (1 3/16 x 2 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9182,FSC-B-48,Mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-48,https://ids.si.edu/ids/iiif/FS-FSC-B-48_1-000001/full/full/0/default.jpg,China,,Bronze,Diam x D: 10 x 1.2 cm (3 15/16 x 1/2 in),,Purchase — Charles Lang Freer Endowment,,,
9183,S2012.9.2852,Dog,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2852,https://ids.si.edu/ids/iiif/FS-rls_3792/full/full/0/default.jpg,China,,Stone,H x W x D (overall): 4.9 x 8.3 x 2.2 cm (1 15/16 x 3 1/4 x 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9184,F1916.560,Luohans Crossing the Sea,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.560,https://ids.si.edu/ids/iiif/FS-6304_03/full/full/0/default.jpg,China,1644-1911,Ink on silk,H x W: 24.3 x 356 cm (9 9/16 x 140 3/16 in),Formerly attributed to Li Gonglin (傳)李公麟 (ca. 1049-1106),Gift of Charles Lang Freer,,,
9185,S2012.9.2674,Garment hook,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2674,https://ids.si.edu/ids/iiif/FS-7844_18/full/full/0/default.jpg,China,4th-3rd century BCE,Bronze,H x W x D (overall): 2 x 6.1 x 0.8 cm (13/16 x 2 3/8 x 5/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9186,S2012.9.4859,Seal,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4859,https://ids.si.edu/ids/iiif/FS-7830_55/full/full/0/default.jpg,China,,Stone,H x W x D (overall): 3.5 x 3 x 3 cm (1 3/8 x 1 3/16 x 1 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9187,F1911.310,Magpies and Camellias in the Snow,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.310,https://ids.si.edu/ids/iiif/FS-5908_05/full/full/0/default.jpg,China,18th century,Ink and color on silk,H x W: 112.9 x 36.9 cm (44 7/16 x 14 1/2 in),,Gift of Charles Lang Freer,,,
9188,F1911.64,Dagger-axe (ge),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.64,https://ids.si.edu/ids/iiif/FS-7727_03/full/full/0/default.jpg,China,770 BCE-9 CE,Bronze,H x W: 18.1 x 9.3 cm (7 1/8 x 3 11/16 in),,Gift of Charles Lang Freer,,,
9189,S2012.9.838,Figure of a monkey,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.838,https://ids.si.edu/ids/iiif/FS-7640_42/full/full/0/default.jpg,China,,Jade,H x Diam (overall): 1 x 5 cm (3/8 x 1 15/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9190,S2012.9.4433,Buddhist figure,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4433,https://ids.si.edu/ids/iiif/FS-7855_31/full/full/0/default.jpg,China,,Gilt bronze,H x W x D (overall): 9.5 x 4.3 x 3.2 cm (3 3/4 x 1 11/16 x 1 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9191,S2012.9.1158,Carving,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1158,https://ids.si.edu/ids/iiif/FS-7862_15/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 7.7 x 4 x 0.6 cm (3 1/16 x 1 9/16 x 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9192,S2012.9.639,Bead,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.639,https://ids.si.edu/ids/iiif/FS-7899_09/full/full/0/default.jpg,China,,Ceramic,H x Diam (overall): 1.1 x 1.9 cm (7/16 x 3/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9193,S1987.686,"Oblong pendant with incised linked curls, one of a pair",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.686,https://ids.si.edu/ids/iiif/FS-S1987.686_001/full/full/0/default.jpg,"Jincun, probably Henan province, China",475-221 BCE,Jade (nephrite),H x W x D: 1.1 x 6.8 x 0.6 cm (7/16 x 2 11/16 x 1/4 in),,Gift of Arthur M. Sackler,,,
9194,S2012.9.521,Flask with dragon,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.521,https://ids.si.edu/ids/iiif/FS-7848_54/full/full/0/default.jpg,China,20th century forgery in the style of the late Shang dynasty (ca. 1300-1050 BCE),Earthenware,H x W x D (overall): 20.7 x 16.6 x 6.1 cm (8 1/8 x 6 9/16 x 2 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9195,FSC-P-1116.2,"Vessel wall, fragment",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-1116.2,https://ids.si.edu/ids/iiif/FS-FSC-P-1116.2_1-000002/full/full/0/default.jpg,"Longquan, Zhejiang province, China",1127-1279,Stoneware with Guan style glaze,,,Gift of C.F. Yau,,,
9196,FSC-C-2,Dish with design of plum tree,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-C-2,https://ids.si.edu/ids/iiif/FS-8519_04/full/full/0/default.jpg,China,early 20th century,Cloisonné enamels on brass base,,,Unknown donor,,,
9197,LTS1985.1.283.1,Handle,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_LTS1985.1.283.1,https://ids.si.edu/ids/iiif/FS-8080_17/full/full/0/default.jpg,China,206 BCE-220 CE,Glass,H x W x D: 6.8 x 2.3 x 1 cm (2 11/16 x 7/8 x 3/8 in),,"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.283",,,
9198,S2012.9.904,Dagger or sheath,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.904,https://ids.si.edu/ids/iiif/FS-7861_22/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 2 x 6.1 x 0.6 cm (13/16 x 2 3/8 x 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9199,S2012.9.116,Pendant with mask,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.116,https://ids.si.edu/ids/iiif/FS-7644_21/full/full/0/default.jpg,China,20th century,Jade,H x W x D (overall): 4.6 x 4.4 x 0.9 cm (1 13/16 x 1 3/4 x 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9200,S1991.48,"Hongyan, Prince Guo (1733–1765), Reading in a Spring Garden",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1991.48,https://ids.si.edu/ids/iiif/FS-7981_19/full/full/0/default.jpg,China,1750s,Ink and color on silk,H x W (image): 162.7 x 107.7 cm (64 1/16 x 42 3/8 in),,Purchase — Smithsonian Collections Acquisition Program and partial gift of Richard G. Pritzlaff,,,
9201,S2012.9.1619,Miniature wine vessel (bianhu type),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1619,https://ids.si.edu/ids/iiif/FS-8147_10/full/full/0/default.jpg,China,late 3rd-2nd century BCE,Bronze,H x W x D: 8.8 x 10 x 5.3 cm (3 7/16 x 3 15/16 x 2 1/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9202,F1917.185,Retinue of the Minister of Water 下元水官圖,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.185,https://ids.si.edu/ids/iiif/FS-8143_03/full/full/0/default.jpg,China,early 14th century,Ink on paper,H x W (image): 49.9 x 263.5 cm (19 5/8 x 103 3/4 in),Attributed to He Cheng 何澄 (1224-after 1315),Gift of Charles Lang Freer,,,
9203,F1915.11,Pair of domestic geese,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1915.11,https://ids.si.edu/ids/iiif/FS-7406_40/full/full/0/default.jpg,China,1368-1644,Ink and color on silk,H x W (image): 25.3 x 29.5 cm (9 15/16 x 11 5/8 in),,Gift of Charles Lang Freer,,,
9204,S1987.501,Pendant in the form of a disk with spirals,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.501,https://ids.si.edu/ids/iiif/FS-S1987.501_001/full/full/0/default.jpg,China,475-221 BCE,Jade (nephrite),Diam x D: 4.8 × 0.1 cm (1 7/8 × 1/16 in),,Gift of Arthur M. Sackler,,,
9205,F1911.48,Ceremonial cup (pei),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.48,https://ids.si.edu/ids/iiif/FS-7603_01/full/full/0/default.jpg,China,,Bronze,H x W: 24 x 7.6 cm (9 7/16 x 3 in),,Gift of Charles Lang Freer,,,
9206,S2012.9.1177,Disk,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1177,https://ids.si.edu/ids/iiif/FS-7640_12/full/full/0/default.jpg,China,,Jade,H x Diam (overall): 0.5 x 6.3 cm (3/16 x 2 1/2 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9207,S2012.9.4781,Man seated in a garden,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4781,https://ids.si.edu/ids/iiif/FS-7718_14/full/full/0/default.jpg,China,,Ink on silk,H x W (with frame): 42.7 x 39.5 cm (16 13/16 x 15 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9208,F2017.5a-c,Notched disk,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F2017.5a-c,https://ids.si.edu/ids/iiif/FS-F2017.5a-c_001/full/full/0/default.jpg,"probably Henan province, China",ca. 1600-ca. 1050 BCE,Jade (serpentine),Diam x D: 33.3 × 0.8 cm (13 1/8 × 5/16 in),,"Purchase — funds provided by Charles Lang Freer Endowment, Lois S. Raphling, and the Sylvia and Alexander Hassan Family Foundation",,,
