title,type,date,credit_line,accession_number,image_download_url
"Mrs.Leyland, Sr.",Print,ca. 1873,Gift of Charles Lang Freer,F1893.89,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6521_01
The Open Book,Print,1861,Gift of Charles Lang Freer,F1893.90,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6521_02
An Artist in His Studio,Drawing,ca. 1856,Gift of Charles Lang Freer,F1906.104,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8091_02
San Biagio,Print,1879-1880,Gift of Charles Lang Freer,F1906.238,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7499_07
F. R. Leyland,Print,ca. 1870-1873,Gift of Charles Lang Freer,F1907.150,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7360_05
Early Evening,Painting,"Painted in 1881, reworked in 1907",Gift of Charles Lang Freer,F1908.14a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7405_11
Sun and Clouds,Painting,1882,Gift of Charles Lang Freer,F1913.31a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8510_05
Landscape with Goats,Painting,ca. 1909,Gift of Charles Lang Freer,F1913.46a-c,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7490_28
"Rug, long narrow",Costume and Textile,N/A,Gift of Charles Lang Freer,F1913.58,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8546_11
The Weavers,Painting,1912,Gift of Charles Lang Freer,F1913.59a-c,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7490_29
Grey and Silver Mist: Life Boat,Painting,January or March 1884,Gift of Charles Lang Freer,F1914.1a-c,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6194_10
Grey and Brown: The Sad Sea Shore,Painting,probably 1885,Gift of Charles Lang Freer,F1914.2a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6195_02
Blossom Time,Painting,1910,Gift of Charles Lang Freer,F1915.27a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1915.27a-b_001-000001
Frostbitten Wood and Field,Painting,1914,Gift of Charles Lang Freer,F1915.28a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7352_36
Portrait of Mrs. Brush,Painting,1888,Gift of Charles Lang Freer,F1917.188a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7307_05
Winged Figure (The Angel),Painting,1918,Gift of Charles Lang Freer,F1919.7a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5138_03
Lamp,Furniture and Furnishing,12th-13th century,Purchase — Charles Lang Freer Endowment,F1931.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8223_18
Pitcher,Vessel,late 12th-early 13th century,Purchase — Charles Lang Freer Endowment,F1932.23,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8223_22
Ink pot,Vessel,early 13th century,Purchase — Charles Lang Freer Endowment,F1934.18,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8224_01
Altar cruet,Vessel,6th or 7th century,Purchase — Charles Lang Freer Endowment,F1935.15,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8224_16
Altar cruet,Vessel,6th or 7th century,Purchase — Charles Lang Freer Endowment,F1935.16,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8224_18
Bowl,Vessel,12th century,Purchase — Charles Lang Freer Endowment,F1936.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5412_01
Boating under the Red Cliff 《赤壁勝游圖》,Painting,1552,Purchase — Charles Lang Freer Endowment,F1939.1a-c,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8033_15
Bowl,Vessel,12th-13th century,Purchase — Charles Lang Freer Endowment,F1942.13,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6964_04
Guardian figure,Sculpture,1185-1333,Purchase — Charles Lang Freer Endowment,F1949.20,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1949.20_001
Guardian figure,Sculpture,1185-1333,Purchase — Charles Lang Freer Endowment,F1949.21,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1949.21_001
Willows and birds,Painting,1450-1499,Purchase — Charles Lang Freer Endowment,F1963.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8043_05
Monkeys and waterfall,Painting,1747-1821,Purchase — Charles Lang Freer Endowment,F1963.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8055_18
Bottle,Vessel,1730-1750,Purchase — Charles Lang Freer Endowment,F1965.18,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7588_21
Incense Box,Container,15th century,Purchase — Charles Lang Freer Endowment,F1967.9a-d,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1967.9a-d_001
Dish,Vessel,early 15th century,Purchase — Charles Lang Freer Endowment,F1968.74a-c,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1968.74a-c_001
Waves,Painting,17th century,Purchase — Charles Lang Freer Endowment,F1969.22-23,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5611_05_01
"Body of incense burner, missing rim and foot, Cizhou ware",Vessel,11th century,Gift of Eugene and Agnes E. Meyer,F1970.47,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7914_13
Furniture plaque: lovers embracing on a canopied bed,Sculpture,ca. 1300,Purchase — Charles Lang Freer Endowment,F1992.32,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6446_02
5 fragments of Syrian enameled glass,Vessel,13th century,Gift of Fahim Kouchakji,FSC-G-2a-e,https://ids.si.edu/ids/deliveryService?max=170&id=FS-fsc_g_2a
5 fragments of glass rings or bracelets,Jewelry and Ornament,N/A,GIft of Fahim Kouchakji,FSC-G-4a-e,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8504_14
"Vessel wall, fragment",Vessel,1127-1279,Gift of C.F. Yau,FSC-P-1123,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSC-P-1123_1
Head of a Bodhisattva,Sculpture,3rd-5th century,Gift of Arthur M. Sackler,S1987.951,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5844_10
Book of prayers,Manuscript,1715 (1127 A.H.) - 1839-40 (1255 A.H.),Gift of Abolala and Nasrin Soudavar,S2022.12.1a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2022.12.1a-b_111
Winter crow on an old tree 寒鴉古木図,Painting,pre-1929,Gift of Mary and Cheney Cowles,S2023.11.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2023.11.6_002
Album of Flowers and Portrait of Shitao - Peonies,Painting,ca. 1698,Gift of Arthur M. Sackler,S1987.207.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5553_08
Figure of a bull,Sculpture,2nd-4th century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.1,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8386_23
Pyxis with cover,Container,mid 1st century BCE-2nd century CE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.10a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_02
Oval stone with perforation for suspension at top,Tool and Equipment,9th-7th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.11,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.11_001
Bowl with splayed foot and concave sides (restored),Vessel,late 11th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.12,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7475_34
"Head and neck of a camel, fragment of a figure",Sculpture,8th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.13,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7823_30
Jar with stylized eyes and nose,Vessel,late 8th-late 6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.14,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_09
Footed vessel with applied decoration on rim of ibex head and two recumbent bulls,Vessel,late 8th-late 6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.15,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_10
Pedestal bowl (partially reassembled),Vessel,8th-6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.16,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7823_40
Bowl,Vessel,late 8th-late 6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.17,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7823_13
"Section of relief carving with bull's head, fragment",Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.178,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.178_001
Pedestal bowl with painted ornament,Vessel,late 8th-late 6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.18,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_06
"Bull's head, fragment",Sculpture,1st century BCE-early 2nd century CE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.180,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_27
"Frieze section with eight ibex heads, fragment",Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.182,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8045_17
Cover (fragmentary) with applied handle of recumbent bull,Vessel,late 8th-late 6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.19,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_12
Stela fragment with human face,Sculpture,2nd-4th century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8386_05
Jar,Vessel,late 8th-late 6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.20,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7942_20
Jug with encircling linear ornament on shoulder and zoomorphic handle,Vessel,late 8th-late 6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.21,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_08
Jar with pedestal foot,Vessel,late 8th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.22,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_17
Jar with pedestal foot (reassembled),Vessel,7th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.23,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7428_26
Fragmentary black ware jar with incised designs,Vessel,ca. 6th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.24,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7823_12
Detached ring base for a vessel (reassembled fragment),Vessel,1st century BCE-1st century CE?,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.25,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7823_55-000001
sickle blade or pruning hook,Tool and Equipment,1st century BCE-1st century CE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.26,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7825_31-000001
Finger ring,Jewelry and Ornament,2nd-4th century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.27,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7824_51-000001
Bracelet or anklet,Jewelry and Ornament,2nd-4th century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.28,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7825_32-000001
Cone-shaped bead (element for inlay?),Jewelry and Ornament,3rd-1st century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.29,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.29_001
"Relief with male figure, fragment",Sculpture,4th-2nd century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8386_16
Cylindrical bead,Jewelry and Ornament,N/A,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.30,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.30_001
Spherical bead,Jewelry and Ornament,3rd-1st century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.31,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.31_001
"Bezel with intaglio of camel's head, facing left",Jewelry and Ornament,3rd-1st century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.32,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.32_001
Dart or spear point,Weapon and Armament,3rd century BCE-mid 1st century CE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.33,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7824_52-000001
"Fragment from a relief, part of proper right shoulder and neck of a figure",Sculpture,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.35,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8386_11
"Table top with ibex frieze, fragment",Furniture and Furnishing,1st century BCE-early 1st century CE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.36,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8384_09
"Frieze with ibex heads, two joined fragments (possibly from table or altar top)",Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.37,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8384_10
"Human head, fragment from larger work",Sculpture,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.38,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8385_19
"Dedicatory relief with four-line inscription from the ""House of Yafash""",Architectural Element,75 BCE-50 CE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.39,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7820_02
"Relief fragment with crescent-disk symbol in relief (joins with another fragment that shows the name ""Yuh'in"" carved in relief, not in Sackler collection)",Architectural Element,2nd-4th century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8384_22
Fragment of a dedicatory relief with seven lines of inscription (in two sections),Architectural Element,1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.40a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7820_04
Relief fragment with nine-letter inscription,Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.41,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8384_18
Relief fragment with six partial lines of inscription,Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.42,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.42_001
"Relief with partial four-line inscription, fragment",Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.43,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7912_21
"Rectangular corner block with recessed panel imitating architectural features, fragment",Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.44,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.44_001
"Rectangular corner block with recessed panels imitating architectural features, fragment",Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.45,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2013.2.45_001
Fragment from a relief frieze: grape vine and animal(?) figure [along with S2013.2.46.2],Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.46.1a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7942_08
Fragment from a relief frieze: grape vine and animal(?) figure [along with S2013.2.46.1a-b],Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.46.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8045_20
Roof gutter with bull's head downspout,Architectural Element,early 1st century,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.48,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8384_04
Downspout with bull's head terminal,Architectural Element,ca. 800 BCE-ca. 200 CE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.49,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8384_06
"Stela with eleven-line inscription, now in three pieces",Sculpture,4th century BCE,Gift of The American Foundation for the Study of Man (Wendell and Merilyn Phillips Collection),S2013.2.5a-c,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7820_12
